Label,Id
"""figlio""","protagonist, trickster"
"""matrigna""","villain, caregiver"
"""moro""","helper, innocent"
"""figlia""","prize, sage"
"""lavandaia""","dispatcher, caregiver"
"""figlia""","protagonist, explorer"
"""figlio del Re""","protagonist, lover"
"""Cricche""","villain, trickster"
"""Crocche""","villain, trickster"
"""Manico d’Uncino""","protagonist, trickster"
"""moglie""","prize, lover"
"""mercante dalle sette
scope""","dispatcher, caregiver"
"""figlia""","protagonist, trickster"
"""mercante dalle sette spade""","villain, explorer"
"""figlio maggiore""","villain, explorer"
"""Re""","dispatcher, lover"
"""lupo""","protagonist, trickster"
"""volpe""","protagonist, trickster"
"""padre""","dispatcher, caregiver"
"""figlio""","protagonist, explorer"
"""Folgore""","helper, trickster"
"""Ciecadritto""","helper, trickster"
"""Forteschiena""","helper, trickster"
"""Soffiarello""","helper, trickster"
"""madre""","dispatcher, caregiver"
"""figlio""","protagonist, explorer"
"""Nanni-Orco""","helper, sage"
"""ciuco""","helper, animal"
"""padre""","dispatcher, caregiver"
"""figlio""","protagonist, explorer"
"""eremita""","helper, citizen"
"""Maestro della Salamanca""","villain, magician"
"""Reginella""","helper, lover"
"""donna""","dispatcher, caregiver"
"""figlia""","villain, rebel"
"""figliastra""","protagonist, caregiver"
"""gatta""","helper, animal"
"""padre""","villain, innocent"
"""Pulcino""","protagonist, rebel"
"""Nanna-
Orca""","helper, monster"
"""Nanni-Orco""","villain, monster"
"""massara""","protagonist, caregiver"
"""civetta""","helper, animal"
"""massaro""","helper, lover"
"""Turchi""","villain, rebel"
"""sposa""","protagonist, lover"
"""marinaio""","villain, lover"
"""Re""","villain, sovereign"
"""Sirene""","helper, monster"
"""vecchia""","helper, sage"
"""Re""","dispatcher, sovereign"
"""Principe ereditario""","protagonist, explorer"
"""sorelle""","helper, innocent"
"""bella Fiorita""","prize, lover"
"""Re""","villain, sovereign"
"""Re""","dispatcher, sovereign"
"""Regina""","dispatcher, caregiver"
"""vecchio""","helper, sage"
"""Emilio""","helper, rebel"
"""Cannelora""","protagonist, explorer"
"""Fata""","helper, magician"
"""Gigante""","villain, monster"
"""Filomena""","protagonist, lover"
"""Filo d’Oro""","prize, lover"
"""madre""","helper, caregiver"
"""Orca""","villain, monster"
"""Fate""","helper, magician"
"""colombi""","helper, animal"
"""Fata fornaia""","helper, magician"
"""ciabattino""","protagonist, trickster"
"""contadino""","helper, innocent"
"""tredici briganti""","villain, rebel"
"""taverniera""","helper, lover"
"""grande""","protagonist, explorer"
"""signore""","villain, sovereign"
"""secondo""","protagonist, explorer"
"""fratello piccolo""","protagonist, explorer"
"""Carola""","protagonist, innocent"
"""vecchia""","villain, magician"
"""giovane Re""","helper, lover"
"""maschietto""","helper, innocent"
"""madre""","villain, caregiver"
"""Re""","dispatcher, sovereign"
"""figlia""","protagonist, lover"
"""Re Pipi""","helper, lover"
"""Turca-Cane""","villain, citizen"
"""vecchio""","helper, sage"
"""carcerati""","helper, rebel"
"""bambino""","protagonist, sovereign"
"""sorella""","protagonist, innocent"
"""zio""","villain, sovereign"
"""buona vecchia""","helper, citizen"
"""giovinetta""","villain, lover"
"""sgherri""","villain, citizen"
"""Re forestiero""","villain, sovereign"
"""mamma""","dispatcher, caregiver"
"""Drago""","villain, monster"
"""Teresa""","helper, citizen"
"""Concetta""","helper, citizen"
"""Mariuzza""","protagonist, trickster"
"""padre""","dispatcher, caregiver"
"""figlio grande""","protagonist, rebel"
"""Francesco""","protagonist, explorer"
"""Bella dei Sett’abiti""","prize, lover"
"""vecchia""","helper, citizen"
"""Regina""","helper, caregiver"
"""serpente""","villain, sovereign"
"""figlia di villano""","protagonist, innocent"
"""figlia di ciabattino""","protagonist, innocent"
"""Principessa""","helper, lover"
"""cavaliere""","villain, citizen"
"""vedova""","dispatcher, caregiver"
"""figlio""","protagonist, explorer"
"""brigante""","villain, trickster"
"""madre""","villain, caregiver"
"""Cola""","villain, citizen"
"""Re""","villain, citizen"
"""mercante""","helper, caregiver"
"""Rosa""","helper, citizen"
"""Giovannina""","helper, citizen"
"""Ninetta""","protagonist, trickster"
"""Reuzzo del Portogallo""","dispatcher, lover"
"""fata""","helper, magician"
"""Regina""","dispatcher, sovereign"
"""vecchia""","helper, citizen"
"""figlia piccola""","protagonist, explorer"
"""Gnà Francisca""","helper, citizen"
"""Reuzzo""","helper, lover"
"""mercante""","dispatcher, caregiver"
"""Baldellone""","protagonist, explorer"
"""Pippina""","protagonist, innocent"
"""fate sorelle""","helper, magician"
"""Re di Francia""","helper, lover"
"""moglie""","villain, citizen"
"""negoziante""","helper, caregiver"
"""Caterina la Sapiente""","protagonist, trickster"
"""Signoria""","helper, citizen"
"""Reuzzo""","villain, sovereign"
"""Re""","dispatcher, sovereign"
"""vecchio""","helper, sage"
"""mercante ismaelita""","helper, citizen"
"""figlio del mercante""","protagonist, innocent"
"""Reginella""","prize, lover"
"""figlia""","protagonist, innocent"
"""colomba""","helper, animal"
"""giovane""","helper, lover"
"""Fate""","helper, magician"
"""Don Giovanni Misiranti""","protagonist, explorer"
"""Signora""","helper, lover"
"""compare""","helper, citizen"
"""Madamigella""","helper, magician"
"""pescatore""","helper, caregiver"
"""Re""","dispatcher, sovereign"
"""Pidduzzu""","protagonist, explorer"
"""Pippina""","helper, lover"
"""Balalicchi""","villain, rebel"
"""Principe""","villain, sovereign"
"""Sor Giuseppe""","helper, caregiver"
"""ragazza""","protagonist, lover"
"""Pippinu""","helper, trickster"
"""Re""","villain, sovereign"
"""Regina""","helper, sovereign"
"""eremita""","helper, sage"
"""cerva""","helper, animal"
"""Erbabianca""","protagonist, innocent"
"""Re""","helper, lover"
"""Cavaliere""","villain, citizen"
"""Alì""","helper, citizen"
"""Re""","dispatcher, sovereign"
"""figlio""","protagonist, explorer"
"""savi""","helper, sage"
"""Speziale""","helper, citizen"
"""Milord
inglese""","villain, lover"
"""vecchia""","villain, trickster"
"""Capitano""","helper, rebel"
"""Notaio""","helper, citizen"
"""Re di Portogallo""","dispatcher, sovereign"
"""sorella""","prize, innocent"
"""Don Giuseppe""","protagonist, caregiver"
"""Re di Spagna""","helper, sovereign"
"""vecchia""","helper, sage"
"""Bracciere""","villain, trickster"
"""Re di Spagna""","helper, sovereign"
"""Bracciere di mano manca""","helper, citizen"
"""Bracciere di mano dritta""","helper, citizen"
"""Madonna""","helper, innocent"
"""Regina""","helper, caregiver"
"""Re di Spagna""","protagonist, lover"
"""tre sorelle""","villain, citizen"
"""Rosmarina""","prize, lover"
"""Mammadraga""","helper, monster"
"""Mammo-drago""","helper, monster"
"""giardiniere""","helper, citizen"
"""Diavolozoppo""","protagonist, trickster"
"""Rosina""","prize, lover"
"""Re""","dispatcher, caregiver"
"""tre figli""","protagonist, explorer"
"""cameriera""","helper, citizen"
"""Gigante""","villain, monster"
"""capitano""","villain, citizen"
"""picciotto""","protagonist, explorer"
"""Grecolevante""","helper, animal"
"""Mago Savino""","helper, magician"
"""dodici belle ragazze""","prize, lover"
"""tre briganti""","villain, citizen"
"""Maestro""","helper, caregiver"
"""Pietro""","protagonist, trickster"
"""Barbiere""","helper, citizen"
"""orologio""","protagonist, object"
"""Conte""","villain, caregiver"
"""Contessina""","protagonist, lover"
"""Reuzzo""","helper, sovereign"
"""Consiglio""","helper, citizen"
"""Mastro Francesco""","helper, citizen"
"""Signora""","villain, monster"
"""figlia""","helper, citizen"
"""Re""","dispatcher, sovereign"
"""figlia""","helper, citizen"
"""Professore""","villain, citizen"
"""colomba""","helper, animal"
"""settimino""","helper, citizen"
"""vecchia""","helper, citizen"
"""nipote""","helper, citizen"
"""gatta""","helper, citizen"
"""figlio""","protagonist, explorer"
"""padrino""","helper, caregiver"
"""padre""","helper, caregiver"
"""giovane""","prize, lover"
"""Mago""","helper, magician"
"""madre""","helper, citizen"
"""Peppi""","protagonist, trickster"
"""figlia del Re""","prize, lover"
"""Re""","dispatcher, sovereign"
"""San Michele Arcangelo""","helper, magician"
"""Consiglieri""","helper, citizen"
"""ciabattino""","helper, caregiver"
"""Nunzia""","prize, lover"
"""giovane""","protagonist, explorer"
"""Peppa""","helper, citizen"
"""Nina""","helper, citizen"
"""Fate""","villain, magician"
"""Re""","helper, sovereign"
"""Reginotta""","protagonist, lover"
"""figlio di Re Granato""","protagonist, trickster"
"""fantesche""","helper, citizen"
"""Regina""","helper, sovereign"
"""Regnante""","helper, sovereign"
"""figlio""","protagonist, lover"
"""figlia di lavandaia""","protagonist, trickster"
"""Ministro""","villain, trickster"
"""giovane maritato""","protagonist, trickster"
"""prete""","villain, citizen"
"""gatta""","helper, animal"
"""mule""","helper, animal"
"""mula""","helper, animal"
"""gallo""","helper, animal"
"""marito""","helper, caregiver"
"""moglie""","villain, citizen"
"""figlia orba""","protagonist, innocent"
"""fontana""","helper, object"
"""fratellino""","helper, innocent"
"""figlio del Re""","helper, lover"
"""figlio""","protagonist, trickster"
"""Principessa Teresina""","prize, lover"
"""Capitano""","villain, citizen"
"""vecchia""","helper, citizen"
"""Re""","dispatcher, sovereign"
"""piccino""","helper, innocent"
"""pecoraio""","helper, citizen"
"""fratello mezzano""","villain, trickster"
"""vecchia""","villain, trickster"
"""comari""","helper, caregiver"
"""ragazza""","protagonist, trickster"
"""Re""","dispatcher, sovereign"
"""figlia""","protagonist, explorer"
"""sorcetto""","helper, animal"
"""eremita""","helper, citizen"
"""Marchesa""","villain, trickster"
"""sorella più piccola""","prize, citizen"
"""dodici frati""","helper, citizen"
"""figlia della Marchesa""","villain, citizen"
"""Re""","helper, lover"
"""Diavolo""","villain, monster"
"""quello che era col Diavolo""","protagonist, trickster"
"""quello che era con
Dio""","protagonist, explorer"
"""Reginotta""","helper, innocent"
"""Giuseppe""","protagonist, citizen"
"""padre""","helper, citizen"
"""volpe Giovannuzza""","helper, trickster"
"""Re""","helper, sovereign"
"""Babbo-Drago""","helper, monster"
"""contadino""","helper, citizen"
"""bambinello""","protagonist, innocent"
"""Gesù Cristo""","helper, magician"
"""Re""","helper, sovereign"
"""Massaro Verità""","protagonist, citizen"
"""moglie""","helper, trickster"
"""Re""","protagonist, sovereign"
"""Regina""","helper, trickster"
"""vecchia""","helper, citizen"
"""figlio dell’Imperatore di Francia""","helper, innocent"
"""padre""","helper, caregiver"
"""più grande""","protagonist, trickster"
"""figlia del Re""","prize, lover"
"""fratello mezzano""","helper, innocent"
"""fratello piccolo""","helper, explorer"
"""Giufà""","protagonist, jester"
"""mamma""","dispatcher, caregiver"
"""Fra Ignazio""","protagonist, innocent"
"""Franchino""","helper, citizen"
"""Priore""","helper, caregiver"
"""negoziante""","protagonist, explorer"
"""Salomone""","helper, magician"
"""banditi""","villain, citizen"
"""contadino""","protagonist, trickster"
"""mastro d’ascia""","helper, caregiver"
"""Mariaorsola""","prize, lover"
"""mercante""","helper, caregiver"
"""Peppino""","protagonist, trickster"
"""mamma""","helper, caregiver"
"""Re di Moscovia""","villain, sovereign"
"""Giannina""","protagonist, lover"
"""Gianni""","protagonist, lover"
"""Guardiano""","protagonist, innocent"
"""bandito""","protagonist, rebel"
"""compare morto""","helper, citizen"
"""Sant’Antonio""","protagonist, trickster"
"""diavoli""","villain, monster"
"""pastore""","protagonist, innocent"
"""Mesi""","helper, object"
"""Marzo""","villain, object"
"""Giovan Balento""","protagonist, innocent"
"""ladroni""","helper, rebel"
"""Giganti""","helper, monster"
"""Re""","helper, sovereign"
"""Regina delle Amazzoni""","prize, lover"
"""padre""","helper, caregiver"
"""fratelli""","villain, citizen"
"""Francesco lo Zoppetto""","protagonist, trickster"
"""Fata""","helper, magician"
"""Diavolo""","villain, monster"
"""Morte""","villain, magician"
